Element,Z,MW
Hydrogen,1,1.00797
Helium,2,4.0026
Lithium,3,6.941
Beryllium,4,9.01218
Boron,5,10.81
Carbon,6,12.011
Nitrogen,7,14.0067
Oxygen,8,15.9994
Fluorine,9,18.998403
Neon,10,20.179
Sodium,11,22.98977
Magnesium,12,24.305
Aluminum,13,26.98154
Silicon,14,28.0855
Phosphorus,15,30.97376
Sulfur,16,32.06
Chlorine,17,35.453
Potassium,19,39.0983
Argon,18,39.948
Calcium,20,40.08
Scandium,21,44.9559
Titanium,22,47.9
Vanadium,23,50.9415
Chromium,24,51.996
Manganese,25,54.938
Iron,26,55.847
Nickel,28,58.7
Cobalt,27,58.9332
Copper,29,63.546
Zinc,30,65.38
Gallium,31,69.72
Germanium,32,72.59
Arsenic,33,74.9216
Selenium,34,78.96
Bromine,35,79.904
Krypton,36,83.8
Rubidium,37,85.4678
Strontium,38,87.62
Yttrium,39,88.9059
Zirconium,40,91.22
Niobium,41,92.9064
Molybdenum,42,95.94
Technetium,43,-98
Ruthenium,44,101.07
Rhodium,45,102.9055
Palladium,46,106.4
Silver,47,107.868
Cadmium,48,112.41
Indium,49,114.82
Tin,50,118.69
Antimony,51,121.75
Iodine,53,126.9045
Tellurium,52,127.6
Xenon,54,131.3
Cesium,55,132.9054
Barium,56,137.33
Lanthanum,57,138.9055
Cerium,58,140.12
Praseodymium,59,140.9077
Neodymium,60,144.24
Promethium,61,-145
Samarium,62,150.4
Europium,63,151.96
Gadolinium,64,157.25
Terbium,65,158.9254
Dysprosium,66,162.5
Holmium,67,164.9304
Erbium,68,167.26
Thulium,69,168.9342
Ytterbium,70,173.04
Lutetium,71,174.967
Hafnium,72,178.49
Tantalum,73,180.9479
Tungsten,74,183.85
Rhenium,75,186.207
Osmium,76,190.2
Iridium,77,192.22
Platinum,78,195.09
Gold,79,196.9665
Mercury,80,200.59
Thallium,81,204.37
Lead,82,207.2
Bismuth,83,208.9804
Polonium,84,-209
Astatine,85,-210
Radon,86,-222
Francium,87,-223
Radium,88,226.0254
Actinium,89,227.0278
Protactinium,91,231.0359
Thorium,90,232.0381
Neptunium,93,237.0482
Uranium,92,238.029
