Element,1,2,4,8,16,32,64,128,256
Helium,4.23E-02,2.12E-02,1.07E-02,5.40E-03,2.76E-03,1.44E-03,7.86E-04,4.58E-04,2.97E-04
Carbon,5.28E-01,2.86E-01,1.50E-01,7.75E-02,4.01E-02,2.11E-02,1.15E-02,6.71E-03,4.35E-03
Nitrogen,5.35E-01,2.97E-01,1.59E-01,8.27E-02,4.30E-02,2.27E-02,1.24E-02,7.23E-03,4.69E-03
Oxygen,5.27E-01,3.01E-01,1.63E-01,8.62E-02,4.50E-02,2.38E-02,1.30E-02,7.62E-03,4.94E-03
Fluorine,5.10E-01,2.99E-01,1.66E-01,8.84E-02,4.65E-02,2.47E-02,1.35E-02,7.92E-03,5.14E-03
Aluminum,1.23E+00,7.37E-01,4.21E-01,2.11E-01,1.24E-01,6.62E-02,3.65E-02,2.14E-02,1.39E-02
Silicon,1.35E+00,8.17E-01,4.72E-01,2.61E-01,1.41E-01,7.59E-02,4.19E-02,2.46E-02,1.60E-02
Titanium,2.06E+00,1.34E+00,8.27E-01,4.90E-01,2.79E-01,1.56E-01,8.30E-02,5.23E-02,3.42E-02
Iron,1.72E+00,1.16E+00,7.47E-01,4.60E-01,2.72E-01,1.56E-01,8.93E-02,5.36E-02,3.52E-02
Tantalum,2.87E+00,2.03E+00,1.41E+00,9.62E-01,6.42E-01,4.20E-01,2.72E-01,1.79E-01,1.25E-01
Uranium,4.28E+00,3.05E+00,2.13E+00,1.45E+00,9.65E-01,6.32E-01,4.12E-01,2.74E-01,1.94E-01
